client,nr_visits,continuity
HN13_r649_2,1,1
HN13_r649_3,1,1
HN13_r649_4,1,1
HN13_r650_1,1,1
HN13_r650_10,1,1
HN13_r650_2,1,1
HN13_r650_3,1,1
HN13_r650_4,1,1
HN13_r650_5,1,1
HN13_r650_6,1,1
HN13_r650_7,1,1
HN13_r650_8,1,1
HN13_r650_9,1,1
HN13_r651_1,1,1
HN13_r651_2,1,1
HN13_r652_1,1,1
HN13_r653_1,1,1
HN13_r653_10,1,1
HN13_r653_11,1,1
HN13_r653_12,1,1
HN13_r653_13,1,1
HN13_r653_14,1,1
HN13_r653_2,1,1
HN13_r653_3,1,1
HN13_r653_4,1,1
HN13_r653_5,1,1
HN13_r653_6,1,1
HN13_r653_7,1,1
HN13_r653_8,1,1
HN13_r653_9,1,1
HN13_r654_1,1,1
HN13_r654_10,1,1
HN13_r654_11,1,1
HN13_r654_12,1,1
HN13_r654_13,1,1
HN13_r654_14,1,1
HN13_r654_2,1,1
HN13_r654_3,1,1
HN13_r654_4,1,1
HN13_r654_5,1,1
HN13_r654_6,1,1
HN13_r654_7,1,1
HN13_r654_8,1,1
HN13_r654_9,1,1
HN15_r655_1,1,1
HN16_r656_1,1,1
HN17_r657_1,1,1
HN19_r658_1,1,1
HN20_r659_1,1,1
HN22_r660_1,1,1
HN23_r661_1,1,1
HN24_r662_1,1,1
HN25_r663_1,1,1

Wrote /Users/bjornevers_MacPro/HomeCare/be-agent-service/scripts/analytics/campaign_analysis/pool3_required/continuity.csv

==================================================
Summary (continuity = unique caregivers per client)
==================================================
  Clients:              169
  Average unique count:  1.74
==================================================

==================================================
Summary (from vehicle.id + visits.name)
==================================================
  Total visits:          2865
  Clients (persons):     169
  Caregivers (vehicles): 41  (distinct vehicle.id; 1 vehicle = 1 caregiver)
  Shifts in output:      474  (not used for continuity; continuity = distinct vehicles per client)

  Per vehicle (vehicle_id, visits, clients):
    Dag_00_Central_1: 62 visits, 12 clients
    Dag_01_Central_1: 155 visits, 7 clients
    Dag_02_Central_2: 84 visits, 9 clients
    Dag_03_Fullersta: 95 visits, 12 clients
    Dag_04_Visättra: 26 visits, 7 clients
    Dag_04_Visättra_2: 103 visits, 10 clients
    Dag_05_Flemingsberg_1: 138 visits, 8 clients
    Dag_06_Flemingsberg_2: 111 visits, 9 clients
    Dag_07_Flemingsberg_3: 132 visits, 15 clients
    Dag_08_Kvarnbergsplan_1: 28 visits, 4 clients
    Dag_09_Kvarnbergsplan_2: 112 visits, 8 clients
    Dag_10_Abbe: 108 visits, 5 clients
    Dag_11_Snättringe: 36 visits, 6 clients
    Dag_12_Segeltorp_1: 39 visits, 4 clients
    Dag_13_Stuvsta_1: 104 visits, 6 clients
    Dag_14_Stuvsta_2: 113 visits, 10 clients
    Dag_15_Masmo: 8 visits, 6 clients
    Dag_16_Vårby_1: 3 visits, 3 clients
    Dag_17_Vårby_2_Janet: 86 visits, 7 clients
    Dag_5_Flemingsberg_3: 57 visits, 7 clients
    Helg_00_Flempan_1: 1 visits, 1 clients
    Helg_02_Snättringe: 3 visits, 3 clients
    Helg_05_Kvarnen_1: 1 visits, 1 clients
    Helg_06_Masmo: 1 visits, 1 clients
    Helg_07_Visättra_TJEJ: 1 visits, 1 clients
    Helg_08_Stuvsta_1_Tjej: 1 visits, 1 clients
    Helg_10_Segeltorp: 1 visits, 1 clients
    Kväll_01_Central: 133 visits, 14 clients
    Kväll_02_Kvarnen: 297 visits, 29 clients
    Kväll_03_Visättra: 151 visits, 13 clients
    Kväll_04_Flemingsberg: 155 visits, 13 clients
    Kväll_05_Stuvsta_1: 22 visits, 7 clients
    Kväll_06_Segeltorp_TJEJ: 108 visits, 15 clients
    Kväll_07_Vårby: 125 visits, 19 clients
    Matlådor_Måndagar: 143 visits, 9 clients
    TVÄTT_PÅ_KONTORET: 90 visits, 6 clients
    städ: 32 visits, 5 clients
